City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,omutinskiy,56.4745,67.6709,29.03,84,5,6.51,RU,1729130468
324,west island,-12.1568,96.8225,80.58,78,20,12.66,CC,1729130469
325,hanamaki,39.3833,141.1167,59.2,88,20,1.14,JP,1729130470
326,la sarre,48.8002,-79.1996,35.73,69,33,7.07,CA,1729130342
327,castillos,-34.1667,-53.8333,50.61,98,8,4.03,UY,1729130472
328,boyolangu,-8.1181,111.8935,82.85,53,100,9.75,ID,1729130473
329,al kharj,24.155,47.3346,73.98,28,13,2.57,SA,1729130474
330,paredon,16.0333,-93.8667,80.46,72,1,14.0,MX,1729130476
331,morondava,-20.2833,44.2833,71.96,62,64,9.24,MG,1729130477
332,isangel,-19.55,169.2667,82.51,65,75,13.8,VU,1729130478
333,ihosy,-22.4,46.1167,59.27,86,72,7.87,MG,1729130479
334,sakaiminato,35.55,133.2333,75.18,78,40,12.66,JP,1729130480
335,kununurra,-15.7667,128.7333,93.18,49,1,4.61,AU,1729130481
336,dakhla,23.6848,-15.958,70.29,93,100,13.51,EH,1729130482
337,domene,45.2034,5.8391,68.43,100,99,3.2,FR,1729130483
338,monkey bay,-14.0728,34.9201,70.61,77,86,16.51,MW,1729130484
339,quezon,7.7303,125.0989,84.36,68,74,1.86,PH,1729130487
340,swakopmund,-22.6833,14.5333,54.99,84,1,1.01,NA,1729130488
341,arta,39.1606,20.9853,67.69,59,71,5.39,GR,1729130490
342,pauini,-7.7136,-66.9764,74.44,77,100,1.52,BR,1729130491
343,kayangel,8.0823,134.7173,84.96,71,59,7.16,PW,1729130493
344,vilyuysk,63.7553,121.6247,20.12,88,100,7.14,RU,1729130494
345,minas de marcona,-15.2119,-75.1103,55.33,82,22,10.4,PE,1729130496
346,fort riley north,39.1108,-96.8139,48.81,45,0,10.45,US,1729130498
347,hadithah,34.1397,42.3781,77.94,32,0,5.77,IQ,1729130499
348,puerto baquerizo moreno,-0.9,-89.6,69.24,86,90,12.08,EC,1729130500
349,tromso,69.6496,18.957,48.22,71,75,13.8,NO,1729130501
350,enoch,37.7733,-113.0244,63.14,34,84,1.99,US,1729130502
351,hilo,19.7297,-155.09,81.95,71,71,8.5,US,1729130504
352,sovetskaya gavan',48.9723,140.2878,50.16,37,8,11.74,RU,1729130408
353,san luis de la loma,17.2706,-100.8939,80.38,88,100,5.55,MX,1729130506
354,vilyuchinsk,52.9306,158.4028,48.47,64,66,10.29,RU,1729130507
355,gaigeturi,33.4644,126.3183,73.45,78,75,19.57,KR,1729130508
356,tataouine,32.9297,10.4518,72.48,58,16,3.42,TN,1729130509
357,parambu,-6.2111,-40.6944,80.29,50,93,4.25,BR,1729130510
358,vernon,50.2581,-119.2691,53.13,41,100,5.01,CA,1729130511
359,altamont,42.2068,-121.7372,49.89,76,5,5.99,US,1729130512
360,seven pagodas,12.6264,80.1722,79.59,82,89,7.27,IN,1729130513
